date,n_bas,label,median_err,share_extreme
2020-01-01,43,New Year's Day,4.433061031800198,0.0
2026-04-13,42,,4.432676903209427,0.023809523809523808
2015-11-27,44,Day after Thanksgiving,4.431929472815606,0.0
2023-05-09,43,,4.4317184295684955,0.0
2018-04-02,44,,4.431515218945319,0.0
2017-03-27,43,,4.431086119741033,0.0
2026-06-17,42,,4.429277301505053,0.0
2015-12-04,43,,4.426716723884091,0.0
2026-04-12,42,,4.424940042835414,0.023809523809523808
2025-07-01,43,,4.424900067865887,0.0
2020-03-21,43,,4.424311368839176,0.06976744186046512
2018-10-28,43,,4.423147774184113,0.0
2023-08-20,43,,4.4208276775258035,0.0
2019-11-05,44,,4.4203316619825,0.022727272727272728
2020-07-11,42,,4.417195768666356,0.07142857142857142
2023-06-26,43,,4.415963509677137,0.0
2016-10-23,44,,4.415138113953601,0.0
2022-02-21,43,Presidents' Day,4.41311047020182,0.0
2020-07-05,43,,4.412743888820822,0.046511627906976744
2022-07-09,43,,4.408831938715198,0.0
2025-05-22,43,,4.406850441111251,0.0
2020-12-27,43,,4.404691345690673,0.20930232558139536
2021-07-10,44,,4.403984350807647,0.0
2022-02-24,43,,4.402441804297497,0.0
2025-06-19,42,Juneteenth,4.4012642156334625,0.023809523809523808
2022-06-22,43,,4.401158753184376,0.0
2018-04-16,44,,4.400025451490674,0.0
2021-11-19,43,,4.399689700992696,0.023255813953488372
2018-01-01,43,New Year's Day,4.399563718153788,0.0
2023-06-17,43,,4.3957298268292,0.0
2026-04-14,41,,4.3953122488733705,0.0
2019-10-01,44,,4.394378781845608,0.045454545454545456
2022-05-01,43,,4.393947413436896,0.0
2026-03-05,43,,4.393213276827169,0.0
2020-04-27,43,,4.392663079021393,0.046511627906976744
2021-09-21,43,,4.392322748083068,0.0
2025-06-02,43,,4.392309276632469,0.023255813953488372
2017-11-01,43,,4.390081579586912,0.0
2020-08-30,43,,4.3899724917155165,0.0
2022-11-09,43,,4.388266042093655,0.0
2024-10-12,43,,4.384262450985395,0.0
2022-11-23,43,,4.382865968225178,0.0
2020-02-27,43,,4.379963492579975,0.0
2024-04-25,43,,4.379786890468008,0.0
2015-10-30,42,,4.378994439776362,0.0
2016-02-22,43,,4.378891079270162,0.0
2023-07-10,42,,4.378721492186628,0.0
2022-09-22,43,,4.376554218300278,0.023255813953488372
2025-10-26,42,,4.375613743184294,0.0
2025-11-10,43,,4.373681503874781,0.0
2025-06-12,43,,4.373651549125412,0.0
2023-11-14,42,,4.3732621081264575,0.0
2023-10-27,43,,4.371864649696516,0.0
2020-06-24,43,,4.3708715840300565,0.0
2023-11-27,42,,4.370169531685565,0.0
2018-02-12,43,,4.36689517534011,0.0
2016-03-14,42,,4.3660391654295125,0.0
2023-06-11,43,,4.365373618052945,0.0
2022-05-28,43,,4.362841215676554,0.023255813953488372
2017-06-15,44,,4.357421401872305,0.0
2023-06-29,43,,4.355785939353926,0.0
2017-07-04,43,Independence Day,4.354029932903103,0.0
2026-06-02,42,,4.353282480347772,0.0
2023-12-25,42,Christmas Day,4.3524371280139675,0.0
2016-05-14,42,,4.350845108834923,0.0
2018-04-26,44,,4.347706534622313,0.022727272727272728
2024-04-01,43,,4.343020964271801,0.0
2021-11-04,43,,4.342647748630562,0.0
2022-06-17,43,,4.341987858548224,0.0
2022-05-27,43,,4.341918786843406,0.0
2022-04-07,43,,4.339643525395082,0.0
2023-02-17,43,,4.3392747729185475,0.023255813953488372
2017-11-12,43,,4.338674053116096,0.023255813953488372
2017-05-22,44,,4.337819716226139,0.13636363636363635
2022-02-13,42,Super Bowl Sunday,4.336665112842937,0.023809523809523808
2025-02-27,43,,4.336293085453838,0.0
2016-12-26,44,Christmas Day (observed),4.335865326736216,0.0
2023-05-26,43,,4.33408966659375,0.0
2026-06-16,42,,4.3334757237891814,0.023809523809523808
2026-05-23,42,,4.333473960627656,0.0
2023-10-18,43,,4.333275343754683,0.0
2020-05-16,43,,4.333028130002892,0.023255813953488372
2017-10-24,44,,4.331353341371083,0.0
2023-11-10,43,Veterans Day (observed),4.33009966480435,0.0
