ba,days,G3_w8_mean,G3R_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
WALC,3558,5.501902490093303,5.174957121899479,0.3269453681938241,5.942405718431401,0.2839059314067485,0.3702356644657573,0.5844675740592474,3.0868416335626536e-17,True,0.47070955142878246,0.42788114290939105,0.4403528217390212,0.3867577409092865,0.38148528172909013,0.09291196087489485,0.046089294140196586
WACM,3531,3.2548064011062383,3.0674468736554545,0.18735952745078407,5.756395446042647,0.1640822956646708,0.21092603414545175,0.5978835978835979,1.6618617129223094e-25,True,0.21911357156474984,0.18677293287794844,0.22120195828832268,0.24622132417152667,0.3157371961929571,0.07869938894987187,0.025440818817819247
FPL,3703,3.700093348663176,3.5166548332497842,0.18343851541339182,4.957672634926013,0.148451149642052,0.21837339084640814,0.6362053959965187,2.0099435061385302e-20,False,0.18160721495098198,0.19803414233732916,0.21919781965557297,0.22976955328612886,0.24964535545718522,0.10945541343862732,0.09200071149264429
TEPC,3647,6.663402668801468,6.3566004699305605,0.3068021988709071,4.604287240622229,0.26596602478959325,0.3465175566499583,0.6695226438188494,2.041939662386824e-43,False,0.3522191246621996,0.2816982583990675,0.4268587511834129,0.444459565806412,0.4180064523091273,0.1516797514291275,0.05067938121158857
PACE,3609,3.1140549776213797,3.0092367942633005,0.10481818335807874,3.365970867930611,0.089012548844514,0.1222851337225953,0.5650044523597507,7.812453044638937e-10,False,0.164762815748714,0.16151418015326216,0.10570704110430039,0.11843636266555303,0.18701161850153178,-0.005437995109635198,0.0038891527276159903
PNM,3776,3.571653281693661,3.466054754685534,0.10559852700812745,2.956572731999707,0.08939774188153622,0.12165467837832983,0.6057877813504823,6.902092804043705e-17,False,0.12893759978286384,0.11039753046920445,0.11872877547043303,0.14318722043625098,0.2288256114360318,0.0003315887511074568,0.014877624613348808
BANC,3683,4.785797323468652,4.660898858040758,0.12489846542789303,2.609773397954284,0.10475760092434168,0.14536434275547092,0.6276257161043921,3.411379470800732e-24,False,0.13786725470747363,0.161100767473957,0.22476968335852052,0.16927437339321952,0.19089866652589996,-0.0050043124557013555,-0.00448149021105211
PSCO,3742,3.9556612291649267,3.8549786956713272,0.10068253349359954,2.5452769501915733,0.08390388937033261,0.11886361447446064,0.6079484425349087,1.0679589554034161e-20,False,0.10060409530232076,0.15823767938136563,0.1333943118864314,0.11924520846613029,0.16289820335564154,0.016428661044037538,0.012701423445930535
EPE,3772,4.792530159485214,4.750143383194523,0.04238677629069093,0.8844342107435769,0.032611836667633926,0.052730445315850395,0.5739736638264911,1.1755041437642285e-07,False,0.04279898704224807,0.04451926244285191,0.059534640242133646,0.06659236244066274,0.09354612026939457,-0.004100468706276526,-0.0037570645639323987
LDWP,3709,4.115769945569898,4.08771977507491,0.028050170494987023,0.6815291152310263,0.01830292971546309,0.03844115011732573,0.5306748466257669,0.01417698661610362,False,0.06378248097310556,0.029769604156878182,0.03618156325167189,0.003531101083299027,0.04438201236456218,0.018538073332373298,0.002160763132816668
NEVP,3751,3.673030602818048,3.6516465827293163,0.02138402008873224,0.5821900877255376,0.011722174111171818,0.03217668136772713,0.56875,0.0005734781886101751,False,0.0008377647739476423,0.019060592942567033,0.026181225657053123,0.025416770506874593,0.05495351126213066,0.0066742994603461924,0.014991076644684468
CISO,3773,3.259241758170063,3.249374514388366,0.00986724378169729,0.3027466053097381,0.003520430498378395,0.016461722484322282,0.5230596175478065,0.17970709888129596,False,0.028895899009042478,0.010276895201604278,0.013592537206737552,0.008709234763661275,0.021355267493680326,-0.01101277245826192,-0.00099425012104826
NYIS,3780,2.7093214181384684,2.70404762061665,0.005273797521818314,0.1946538157677082,-0.0003065270854261967,0.010982243672276843,0.4904306220095694,0.516031487895198,False,0.003239020182420007,0.015532218566934602,0.004964146729697063,0.019147572105681607,-0.01071724135994792,0.0039170779399129475,0.0
ISNE,3774,3.845913080964496,3.8431796014567023,0.0027334795077938075,0.07107491641772343,-0.00634544835869082,0.012707755043730609,0.4739471805852962,0.05436671388601796,False,0.006562322494464669,0.013426610230133695,0.03031017509752762,-0.02182706208425706,-0.007671620255423387,-0.0025872062539579258,0.0
